iter	Passed	Remaining
0	22	6733
1	76	11415
2	126	12569
3	177	13133
4	229	13533
5	279	13707
6	332	13902
7	384	14021
8	438	14165
9	490	14234
10	540	14203
11	583	13996
12	638	14089
13	694	14182
14	745	14173
15	794	14094
16	846	14083
17	896	14040
18	925	13689
19	1018	14256
20	1067	14179
21	1111	14046
22	1159	13962
23	1181	13590
24	1231	13547
25	1279	13488
26	1332	13471
27	1392	13530
28	1450	13551
29	1464	13179
30	1515	13147
31	1566	13118
32	1617	13090
33	1663	13016
34	1716	12993
35	1767	12965
36	1819	12933
37	1873	12915
38	1929	12915
39	1975	12837
40	1997	12618
41	2031	12479
42	2081	12442
43	2131	12400
44	2183	12372
45	2235	12341
46	2283	12291
47	2336	12265
48	2388	12236
49	2435	12178
50	2481	12114
51	2530	12069
52	2580	12024
53	2608	11884
54	2670	11896
55	2696	11751
56	2748	11715
57	2797	11670
58	2848	11633
59	2898	11594
60	2952	11569
61	3005	11535
62	3055	11493
63	3106	11456
64	3157	11414
65	3209	11377
66	3260	11338
67	3312	11302
68	3363	11259
69	3415	11222
70	3467	11184
71	3518	11140
72	3568	11095
73	3620	11056
74	3670	11012
75	3694	10889
76	3745	10846
77	3779	10758
78	3830	10716
79	3883	10680
80	3935	10640
81	3988	10603
82	4041	10565
83	4092	10523
84	4146	10487
85	4196	10442
86	4220	10332
87	4270	10287
